City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
210,Hobyo,SO,2021-03-31 21:56:27,5.3505,48.5268,79.86,73,2,9.57
211,Itambe,BR,2021-03-31 21:56:27,-15.245,-40.6244,72.64,80,48,0.74
212,Kasane,BW,2021-03-31 21:56:28,-17.8167,25.15,63.61,71,96,4.38
213,Natal,BR,2021-03-31 21:56:28,-5.795,-35.2094,82.4,78,20,9.22
214,Port Hawkesbury,CA,2021-03-31 21:56:28,45.6169,-61.3485,53.6,66,1,11.5
215,Togur,RU,2021-03-31 21:56:29,58.3631,82.8265,24.24,96,100,8.3
216,East London,ZA,2021-03-31 21:53:11,-33.0153,27.9116,66.58,82,90,8.9
217,Hay River,CA,2021-03-31 21:56:29,60.8156,-115.7999,35.6,75,100,3.44
218,Esil,KZ,2021-03-31 21:56:29,51.9556,66.4042,3.47,99,80,6.93
219,Saint-Joseph,RE,2021-03-31 21:56:30,-21.3667,55.6167,77.0,78,90,4.61
220,Laguna,US,2021-03-31 21:56:30,38.421,-121.4238,79.0,17,1,5.75
221,Sao Filipe,CV,2021-03-31 21:56:30,14.8961,-24.4956,71.73,74,33,9.6
222,Manado,ID,2021-03-31 21:56:30,1.487,124.8455,77.0,94,40,2.3
223,Whyalla,AU,2021-03-31 21:56:31,-33.0333,137.5833,55.4,76,0,6.91
224,Salinopolis,BR,2021-03-31 21:56:31,-0.6136,-47.3561,77.79,86,100,6.67
225,Northam,GB,2021-03-31 21:56:31,51.0333,-4.2167,48.99,90,14,1.01
226,Codrington,AU,2021-03-31 21:56:32,-38.2667,141.9667,63.37,54,63,9.15
227,Barcelos,PT,2021-03-31 21:56:32,41.5388,-8.6151,69.01,55,0,6.91
228,Jizan,SA,2021-03-31 21:56:32,17.3333,42.6667,82.4,61,0,3.44
229,Soyo,AO,2021-03-31 21:56:32,-6.1349,12.3689,77.88,86,100,5.84
230,Port Blair,IN,2021-03-31 21:56:33,11.6667,92.75,80.22,79,96,5.23
231,Mountain Home,US,2021-03-31 21:53:14,43.133,-115.6912,53.6,17,1,5.75
232,Shenjiamen,CN,2021-03-31 21:56:33,29.9576,122.298,58.84,99,100,4.12
233,Santa Maria,BR,2021-03-31 21:56:33,-29.6842,-53.8069,73.4,60,0,5.75
234,Cape Canaveral,US,2021-03-31 21:56:34,28.4058,-80.6048,77.0,78,75,16.11
235,Olafsvik,IS,2021-03-31 21:56:34,64.8945,-23.7142,40.82,87,88,24.2
236,Bengkulu,ID,2021-03-31 21:56:34,-3.8004,102.2655,76.28,78,100,13.2
237,Kiruna,SE,2021-03-31 21:56:35,67.8557,20.2251,32.0,74,51,11.5
238,Muisne,EC,2021-03-31 21:56:35,0.6,-80.0333,82.4,89,40,8.05
239,Cascais,PT,2021-03-31 21:54:46,38.6979,-9.4215,62.01,77,80,10.0
240,Neosho,US,2021-03-31 21:56:35,36.869,-94.368,55.99,28,1,4.0
241,Kargil,IN,2021-03-31 21:56:36,34.5667,76.1,19.83,62,29,5.37
242,Komsomolskiy,UZ,2021-03-31 21:56:36,40.4272,71.7189,46.4,57,40,7.38
243,Saint-Pierre,RE,2021-03-31 21:56:36,-21.3393,55.4781,77.0,78,90,4.61
244,Mayumba,GA,2021-03-31 21:56:36,-3.432,10.6554,74.16,92,100,5.59
